T,H,P
28.72,58.76,0
28.71,58.78,0
28.72,58.81,0
28.72,58.82,0
28.72,58.83,0
28.71,58.85,0
28.71,58.87,0
28.7,58.86,0
28.7,58.89,0
28.7,58.93,0
28.7,58.93,0
28.7,58.98,0
28.69,58.97,0
28.69,59.3,0
28.69,59.7,0
28.7,59.8,0
28.7,59.7,0
28.7,59.1,0
28.72,59.8,0
28.71,59.9,0
28.7,59.11,0
28.71,59.17,0
28.69,59.2,0
28.7,59.2,0
28.71,59.19,0
28.7,59.24,0
28.7,59.23,0
28.68,59.24,0
28.69,59.25,0
28.68,59.26,0
28.69,59.26,0
28.68,59.29,0
28.68,59.31,0
28.68,59.34,0
28.67,59.36,0
28.66,59.38,0
28.67,59.39,0
28.67,59.42,0
28.66,59.42,0
28.67,59.47,0
28.67,59.46,0
